# CAMERA_ID  image_name  qw qx qy qz  tx ty tz
175  cam7.png  0.4447732795 0.8007766619 0.3542261163 -0.1883011582  -0.7379382121 -1.4016378962 3.2766863806
176  cam5.png  0.4670725736 0.8532595304 0.2087999819 -0.1009651042  0.9232417829 -1.0246898669 2.5171877976
177  cam6.png  0.4388890938 0.8497185835 -0.2535063194 0.1452213420  -1.9425109379 -0.8463815899 1.9906278743
178  cam8.png  0.4211257866 0.8104922837 0.3613289923 -0.1876078069  -1.6936935813 -1.1759903114 2.4807283775
179  cam2.png  0.3371981848 0.6358860108 -0.6093422712 0.3326384852  2.1062332862 -0.6864020583 2.0791928709
180  cam4.png  0.4232239533 0.7963570286 -0.3921992685 0.1813193376  0.0254804129 -1.1658741337 2.5814485987
181  cam1.png  0.2225191287 0.3884048375 0.8062678292 -0.3867287255  -0.1291276346 -1.7898076204 3.2555966976
182  cam3.png  -0.1593469600 -0.2295125874 0.8603335453 -0.4263316894  -0.7292111005 -1.1998857665 2.6473932974
